function,case,metric,max_abs,max_rel,atol,rtol,pass
dordfir,base_c1,S,7.105427357601002e-15,4.305535615160265e-15,1e-10,1e-07,True
dordfir,base_c1,X,1.9012569296705806e-15,2.5091584809374282e-12,1e-10,1e-07,True
dordfir,base_c1,FIR,3.885780586188048e-16,2.1518886591573843e-14,1e-10,1e-07,True
dordfir,noD_c1,S,4.884981308350689e-15,2.771448907397469e-15,1e-10,1e-07,True
dordfir,noD_c1,X,3.1155633628543455e-15,4.659165552494896e-12,1e-10,1e-07,True
dordfir,noD_c1,FIR,5.551115123125783e-16,3.663354393720477e-15,1e-10,1e-07,True
dordfir,base_c2,S,1.0880185641326534e-14,6.059941638435025e-15,1e-10,1e-07,True
dordfir,base_c2,X,3.608224830031759e-15,1.4541370797619698e-11,1e-10,1e-07,True
dordfir,base_c2,FIR,7.771561172376096e-16,3.221700464673305e-14,1e-10,1e-07,True
dordfir,noD_c2,S,2.1316282072803006e-14,5.217921054661059e-15,1e-10,1e-07,True
dordfir,noD_c2,X,3.1155633628543455e-15,9.48831902053193e-10,1e-10,1e-07,True
dordfir,noD_c2,FIR,8.326672684688674e-16,1.0358353657336333e-14,1e-10,1e-07,True
dordfir,base_c3,S,4.440892098500626e-16,4.650352697528784e-15,1e-10,1e-07,True
dordfir,base_c3,X,9.055256544598933e-16,6.6040888384556114e-12,1e-10,1e-07,True
dordfir,base_c3,FIR,6.852157730108388e-17,4.120653304141053e-13,1e-10,1e-07,True
dordfir,noD_c3,S,2.220446049250313e-16,2.3526144069383852e-15,1e-10,1e-07,True
dordfir,noD_c3,X,1.016547956922409e-15,4.832456230398293e-12,1e-10,1e-07,True
dordfir,noD_c3,FIR,3.8163916471489756e-17,4.3507870444723416e-15,1e-10,1e-07,True
