function,case,metric,max_abs,max_rel,atol,rtol,pass
dordvarx,base_c1,S,5.3290705182007514e-14,0.04560014633279068,1e-10,1e-06,True
dordvarx,base_c1,VARX,1.4909948276020657e-15,0.00035834724731813756,1e-10,1e-06,True
dordvarx,base_c1,Zps,8.109832250191573e-17,7.0550890516067804e-12,1e-10,1e-06,True
dordvarx,weight1_c1,S,7.105427357601002e-14,0.0494571744128654,1e-10,1e-06,True
dordvarx,weight1_c1,VARX,1.4909948276020657e-15,0.00035834724731813756,1e-10,1e-06,True
dordvarx,weight1_c1,Zps,8.109832250191573e-17,7.0550890516067804e-12,1e-10,1e-06,True
dordvarx,noD_c1,S,7.815970093361102e-14,0.025818375413787707,1e-10,1e-06,True
dordvarx,noD_c1,VARX,1.6662018986757232e-15,1.9870879606031236e-12,1e-10,1e-06,True
dordvarx,noD_c1,Zps,4.3042826247674526e-17,1.9047327845839267e-11,1e-10,1e-06,True
dordvarx,base_c2,S,1.3500311979441904e-13,0.05368163072768811,1e-10,1e-06,True
dordvarx,base_c2,VARX,2.2075440433977356e-15,0.0009309338331183842,1e-10,1e-06,True
dordvarx,base_c2,Zps,5.616167253474913e-17,3.7710110034031674e-11,1e-10,1e-06,True
dordvarx,weight1_c2,S,3.765876499528531e-13,0.06607287825230793,1e-10,1e-06,True
dordvarx,weight1_c2,VARX,2.2075440433977356e-15,0.0009309338331183842,1e-10,1e-06,True
dordvarx,weight1_c2,Zps,5.616167253474913e-17,3.7710110034031674e-11,1e-10,1e-06,True
dordvarx,noD_c2,S,1.0302869668521453e-13,0.041933089900861406,1e-10,1e-06,True
dordvarx,noD_c2,VARX,2.8199556405261728e-15,1.537440215106582e-11,1e-10,1e-06,True
dordvarx,noD_c2,Zps,7.37257477290143e-17,2.446742377232461e-11,1e-10,1e-06,True
dordvarx,base_c3,S,5.756633608695911e-14,0.05756633608695911,1e-10,1e-06,True
dordvarx,base_c3,VARX,1.7212793690379868e-15,0.0007055093849609965,1e-10,1e-06,True
dordvarx,base_c3,Zps,6.938893903907228e-17,1.8835719652637842e-11,1e-10,1e-06,True
dordvarx,weight1_c3,S,6.154834620235007e-14,0.06154834620235008,1e-10,1e-06,True
dordvarx,weight1_c3,VARX,1.7212793690379868e-15,0.0007055093849609965,1e-10,1e-06,True
dordvarx,weight1_c3,Zps,6.938893903907228e-17,1.8835719652637842e-11,1e-10,1e-06,True
dordvarx,noD_c3,S,1.0234922439417349e-14,0.010234922439417348,1e-10,1e-06,True
dordvarx,noD_c3,VARX,1.839674246273404e-15,5.766473250486787e-13,1e-10,1e-06,True
dordvarx,noD_c3,Zps,6.548581121812447e-17,8.021124166735169e-12,1e-10,1e-06,True
