function,case,metric,max_abs,max_rel,atol,rtol,pass
dvar4abcdk,base_c1,P,4.163336342344337e-17,1.514184598649292e-12,1e-08,1e-06,True
dvar4abcdk,base_c1,sigma,0.0,0.0,1e-10,1e-07,True
dvar4abcdk,base_c1,dA,2.7755575615628914e-16,5.073254303229098e-15,1e-08,1e-06,True
dvar4abcdk,base_c1,dB,2.0383000842727483e-17,5.601431975234685e-15,1e-08,1e-06,True
dvar4abcdk,base_c1,dC,4.163336342344337e-17,1.8472317601490125e-14,1e-08,1e-06,True
dvar4abcdk,base_c1,dD,3.7947076036992655e-19,8.877719443922637e-16,1e-08,1e-06,True
dvar4abcdk,base_c1,dK,5.551115123125783e-17,2.360444998753348e-15,1e-08,1e-06,True
dvar4abcdk,stable1_c1,P,3.0678399451887495e-09,0.00022195057928222576,2e-05,0.0002,True
dvar4abcdk,stable1_c1,sigma,0.0,0.0,1e-08,1e-06,True
dvar4abcdk,stable1_c1,dA,1.7087513767801625e-09,8.973797743652218e-05,5e-05,0.0002,True
dvar4abcdk,stable1_c1,dB,9.168288609264028e-09,3.341987808820039e-05,5e-05,0.0002,True
dvar4abcdk,stable1_c1,dC,1.771429718846519e-10,2.850350523149202e-05,1e-07,1e-05,True
dvar4abcdk,stable1_c1,dD,2.9944349852354182e-09,3.143014216051969e-05,1e-07,1e-05,True
dvar4abcdk,stable1_c1,dK,8.75369438324558e-08,6.023734767252724e-07,5e-05,0.0002,True
dvar4abcdk,base_c2,P,1.8388068845354155e-16,5.011767866178201e-12,1e-08,1e-06,True
dvar4abcdk,base_c2,sigma,0.0,0.0,1e-10,1e-07,True
dvar4abcdk,base_c2,dA,2.3592239273284576e-16,1.2081541146412312e-14,1e-08,1e-06,True
dvar4abcdk,base_c2,dB,1.5178830414797062e-17,1.5998644208873877e-14,1e-08,1e-06,True
dvar4abcdk,base_c2,dC,4.0939474033052647e-16,8.061813291522575e-15,1e-08,1e-06,True
dvar4abcdk,base_c2,dD,1.8106176280507924e-17,6.902343584526623e-14,1e-08,1e-06,True
dvar4abcdk,base_c2,dK,8.638922910364499e-16,7.137973145581374e-14,1e-08,1e-06,True
dvar4abcdk,stable1_c2,P,1.1389391374461155e-09,0.00015258793876410623,2e-05,0.0002,True
dvar4abcdk,stable1_c2,sigma,0.0,0.0,1e-08,1e-06,True
dvar4abcdk,stable1_c2,dA,2.1516996626287643e-09,6.784302930773259e-06,5e-05,0.0002,True
dvar4abcdk,stable1_c2,dB,2.7841103780040788e-09,1.4456091668472995e-06,5e-05,0.0002,True
dvar4abcdk,stable1_c2,dC,9.908776872811728e-11,6.623972160065998e-06,1e-07,1e-05,True
dvar4abcdk,stable1_c2,dD,2.4149998678352907e-12,2.0848793955444877e-08,1e-07,1e-05,True
dvar4abcdk,stable1_c2,dK,5.477588826963142e-08,2.2923589504377695e-08,5e-05,0.0002,True
dvar4abcdk,base_c3,P,3.8163916471489756e-17,1.9917144147008884e-13,1e-08,1e-06,True
dvar4abcdk,base_c3,sigma,0.0,0.0,1e-10,1e-07,True
dvar4abcdk,base_c3,dA,2.463307335887066e-16,4.2327883292803065e-14,1e-08,1e-06,True
dvar4abcdk,base_c3,dB,8.673617379884035e-18,1.9863824574822014e-15,1e-08,1e-06,True
dvar4abcdk,base_c3,dC,4.683753385137379e-17,5.6410025355739455e-15,1e-08,1e-06,True
dvar4abcdk,base_c3,dD,6.505213034913027e-19,5.290619605957215e-16,1e-08,1e-06,True
dvar4abcdk,base_c3,dK,5.551115123125783e-17,6.001690221702699e-16,1e-08,1e-06,True
dvar4abcdk,stable1_c3,P,6.95728855429345e-09,4.196151315150655e-06,2e-05,0.0002,True
dvar4abcdk,stable1_c3,sigma,0.0,0.0,1e-08,1e-06,True
dvar4abcdk,stable1_c3,dA,2.76994549346099e-09,4.5819345707393957e-07,5e-05,0.0002,True
dvar4abcdk,stable1_c3,dB,5.7939738284940034e-09,4.807559496807343e-06,5e-05,0.0002,True
dvar4abcdk,stable1_c3,dC,4.52365519175435e-10,2.20032575241869e-07,1e-07,1e-05,True
dvar4abcdk,stable1_c3,dD,7.953681366952223e-10,3.0782931007389674e-06,1e-07,1e-05,True
dvar4abcdk,stable1_c3,dK,1.224493501039703e-07,3.373571448921464e-07,5e-05,0.0002,True
