function,case,metric,max_abs,max_rel,atol,rtol,pass
dvar4abck,base_c1,P,9.540979117872439e-17,9.961267468197601e-14,1e-08,1e-06,True
dvar4abck,base_c1,sigma,0.0,0.0,1e-10,1e-07,True
dvar4abck,base_c1,dA,2.7755575615628914e-16,3.886997698154752e-15,1e-08,1e-06,True
dvar4abck,base_c1,dB,8.673617379884035e-18,6.732528586084924e-16,1e-08,1e-06,True
dvar4abck,base_c1,dC,4.423544863740858e-17,5.9665666442494936e-15,1e-08,1e-06,True
dvar4abck,base_c1,dK,1.8041124150158794e-16,2.1015331520010454e-15,1e-08,1e-06,True
dvar4abck,stable1_c1,P,5.032368328716785e-07,0.0002986878488484276,2e-05,0.0002,True
dvar4abck,stable1_c1,sigma,0.0,0.0,1e-08,1e-06,True
dvar4abck,stable1_c1,dA,1.7069676329427123e-09,7.168945666011475e-06,5e-05,0.0002,True
dvar4abck,stable1_c1,dB,1.672972139293849e-07,2.1639886279376565e-06,5e-05,0.0002,True
dvar4abck,stable1_c1,dC,3.039667436580914e-10,0.0003664792086380888,1e-07,1e-05,True
dvar4abck,stable1_c1,dK,8.003052764937735e-08,9.99415594226997e-08,5e-05,0.0002,True
dvar4abck,base_c2,P,2.220446049250313e-15,2.629979265265947e-14,1e-08,1e-06,True
dvar4abck,base_c2,sigma,0.0,0.0,1e-10,1e-07,True
dvar4abck,base_c2,dA,8.98586760555986e-16,2.8900193230713926e-14,1e-08,1e-06,True
dvar4abck,base_c2,dB,1.951563910473908e-17,8.129227002139157e-15,1e-08,1e-06,True
dvar4abck,base_c2,dC,1.6132928326584306e-16,1.5029990653993798e-14,1e-08,1e-06,True
dvar4abck,base_c2,dK,7.771561172376096e-16,2.890539078886266e-15,1e-08,1e-06,True
dvar4abck,stable1_c2,P,2.6227963221756023e-07,0.00019417492039946178,2e-05,0.0002,True
dvar4abck,stable1_c2,sigma,0.0,0.0,1e-08,1e-06,True
dvar4abck,stable1_c2,dA,9.035905596563136e-09,2.1682206124889767e-05,5e-05,0.0002,True
dvar4abck,stable1_c2,dB,6.9250934084386095e-09,7.40366278486337e-07,5e-05,0.0002,True
dvar4abck,stable1_c2,dC,2.9742325161568163e-10,7.5179873217755695e-06,1e-07,1e-05,True
dvar4abck,stable1_c2,dK,1.3113987163138052e-06,7.959367309895657e-06,5e-05,0.0002,True
dvar4abck,base_c3,P,4.163336342344337e-17,1.7807351531053553e-14,1e-08,1e-06,True
dvar4abck,base_c3,sigma,0.0,0.0,1e-10,1e-07,True
dvar4abck,base_c3,dA,5.204170427930421e-17,3.620808274166972e-15,1e-08,1e-06,True
dvar4abck,base_c3,dB,2.2551405187698492e-17,3.36886380198315e-15,1e-08,1e-06,True
dvar4abck,base_c3,dC,1.1796119636642288e-16,1.0466752447213986e-14,1e-08,1e-06,True
dvar4abck,base_c3,dK,2.220446049250313e-16,1.8116126086418665e-15,1e-08,1e-06,True
dvar4abck,stable1_c3,P,1.0998259334857319e-06,0.0001512251506319033,2e-05,0.0002,True
dvar4abck,stable1_c3,sigma,0.0,0.0,1e-08,1e-06,True
dvar4abck,stable1_c3,dA,3.9561179833360466e-09,3.6543708661997567e-06,5e-05,0.0002,True
dvar4abck,stable1_c3,dB,5.507101255748659e-08,5.918978640650024e-06,5e-05,0.0002,True
dvar4abck,stable1_c3,dC,9.195976841342227e-11,5.307164711557741e-07,1e-07,1e-05,True
dvar4abck,stable1_c3,dK,9.877929767587723e-06,1.0074532752407918e-05,5e-05,0.0002,True
