function,case,metric,max_abs,max_rel,atol,rtol,pass
dvar4varx,base_c1,P,4.272958451628724e-35,4.272958451628724e-23,1e-10,1e-07,True
dvar4varx,base_c1,sigma,5.7829936055934876e-33,5.782993605593488e-21,1e-10,1e-07,True
dvar4varx,noD_c1,P,1.6112162822092472e-35,1.6112162822092472e-23,1e-10,1e-07,True
dvar4varx,noD_c1,sigma,2.228812520797514e-33,2.2288125207975143e-21,1e-10,1e-07,True
dvar4varx,base_c2,P,1.7325436035355917e-35,1.7325436035355918e-23,1e-10,1e-07,True
dvar4varx,base_c2,sigma,1.3120219438338598e-34,1.3120219438338598e-22,1e-10,1e-07,True
dvar4varx,noD_c2,P,4.784564743588976e-36,4.784564743588976e-24,1e-10,1e-07,True
dvar4varx,noD_c2,sigma,3.6598006422394184e-35,3.6598006422394184e-23,1e-10,1e-07,True
dvar4varx,base_c3,P,1.5600676951862005e-34,1.5600676951862004e-22,1e-10,1e-07,True
dvar4varx,base_c3,sigma,3.2807253637664243e-32,3.280725363766424e-20,1e-10,1e-07,True
dvar4varx,noD_c3,P,8.880104229579394e-34,8.880104229579394e-22,1e-10,1e-07,True
dvar4varx,noD_c3,sigma,1.923144259755424e-31,1.923144259755424e-19,1e-10,1e-07,True
