function,case,mode,matrix,row,col,matlab_value,python_value,difference,difference_over_matlab_value_pct,difference_over_python_value_pct
dx2abcdk,c2,stable1,D,0,0,-0.044970154762268066,-0.044970107422535176,4.733973289067217e-08,0.0001052692238684317,0.00010526933468464329
dx2abck,c1,stable1,A,0,1,0.09816007639159317,0.09816019161349149,1.1522189831414398e-07,0.00011738163064837636,0.00011738149286406596
dx2abck,c3,stable1,C,0,1,0.01809224858880043,0.018092224653958856,2.3934841573980403e-08,0.00013229334903565657,0.0001322935240511901
dx2abck,c3,stable1,K,0,0,-1.7012459840333738,-1.701243378933873,2.6050995007853572e-06,0.0001531289140568077,0.00015312914854180996
dx2abck,c3,stable1,A,1,1,0.253482441602559,0.2534833874394279,9.458368688819441e-07,0.00037313703580500604,0.0003731356434977264
dx2abck,c3,stable1,A,1,0,-4.613336236756343,-4.613362016002286,2.5779245943269302e-05,0.0005587983320590308,0.0005587952095207203
dx2abck,c3,stable1,K,1,0,12.706328409835372,12.70639941293976,7.100310438801216e-05,0.0005588011115237034,0.00055879798895433
dx2abck,c3,stable1,A,0,1,0.06613095228816826,0.06613036108181623,5.912063520269184e-07,0.0008939934048593662,0.0008940013971728963
dx2abcdk,c1,stable1,A,1,1,49.298308726926464,49.296772936025164,0.0015357909013005155,0.0031153013986901243,0.0031153984527416967
dx2abcdk,c1,stable1,B,1,0,103300360184.0489,103297139876.5485,3220307.5004119873,0.003117421366851391,0.0031175185530408793
dx2abcdk,c1,stable1,K,1,0,378.4428027305338,378.4310049993174,0.011797731216404372,0.0031174410323783646,0.003117538219794029
dx2abcdk,c1,stable1,A,1,0,142.51938629304283,142.5149433264085,0.004442966634314871,0.0031174472118336346,0.0031175443996345987
dx2abcdk,c1,stable1,B,0,0,-35392912518.83469,-35391799361.84679,1113156.9878997803,0.00314514095811528,0.003145239880342988
dx2abcdk,c1,stable1,K,0,0,-128.59236936973588,-128.58829127621897,0.0040780935169095756,0.003171333988865246,0.0031714345656475612
dx2abcdk,c1,stable1,A,0,1,-16.50775454887115,-16.50722380446988,0.0005307444012707663,0.003215121715673075,0.0032152250890731216
dx2abcdk,c1,stable1,A,0,0,-47.710189578368066,-47.70865378745556,0.0015357909125057745,0.0032189998113151624,0.003219103434248637
dx2abck,c3,stable1,B,0,0,400371944.6053053,400478953.28954214,107008.68423682451,0.02672731835451553,0.02672017676780591
dx2abck,c3,stable1,B,1,0,-8605524919.949995,-8607910982.032848,2386062.0828533173,0.02772709515164802,0.02771940936463801
dx2abck,c2,stable1,B,0,0,-747815913.0314289,-748074831.806344,258918.77491509914,0.034623330475212474,0.034611346874202295
dx2abck,c2,stable1,B,1,0,935980447.7961124,936304526.95836,324079.16224753857,0.034624565396705144,0.03461258094098174
dx2abck,c1,stable1,B,0,0,28928792213.256794,28914947767.14155,13844446.11524582,0.04785697934842063,0.04787989321903051
dx2abck,c1,stable1,B,1,0,70815270035.68597,70781368889.64284,33901146.0431366,0.04787264953738477,0.047895578419785576
