function,case,metric,max_abs,max_rel,atol,rtol,pass
dx2abc,base_c1,A,1.0130785099704553e-15,1.0124113951202306e-14,1e-10,1e-07,True
dx2abc,base_c1,B,1.3183898417423734e-16,2.3553717085477528e-15,1e-10,1e-07,True
dx2abc,base_c1,C,5.551115123125783e-17,3.3096485653677024e-16,1e-10,1e-07,True
dx2abc,stable1_c1,A,2.6661084362444853e-07,6.284647764301396e-08,0.005,8e-05,True
dx2abc,stable1_c1,B,0.4943102225661278,8.689638863356525e-09,0.005,0.0001,True
dx2abc,stable1_c1,C,8.715279609106119e-10,2.133757041219222e-09,5e-06,1e-06,True
dx2abc,base_c2,A,2.220446049250313e-15,3.468764487727636e-15,1e-10,1e-07,True
dx2abc,base_c2,B,9.367506770274758e-17,8.746374400568586e-15,1e-10,1e-07,True
dx2abc,base_c2,C,2.220446049250313e-16,5.864267338171262e-15,1e-10,1e-07,True
dx2abc,stable1_c2,A,9.839407340006545e-07,1.0308008342334753e-06,0.005,8e-05,True
dx2abc,stable1_c2,B,255.4242000579834,4.311793130337587e-07,0.005,0.0001,True
dx2abc,stable1_c2,C,4.305067691223741e-09,9.423858789381296e-09,5e-06,1e-06,True
dx2abc,base_c3,A,1.5959455978986625e-15,1.867636235394485e-14,1e-10,1e-07,True
dx2abc,base_c3,B,2.7755575615628914e-17,1.858286166858266e-16,1e-10,1e-07,True
dx2abc,base_c3,C,1.3877787807814457e-17,1.2599739135247424e-16,1e-10,1e-07,True
dx2abc,stable1_c3,A,6.066629746115382e-06,9.85723206480402e-07,0.005,8e-05,True
dx2abc,stable1_c3,B,583.6118822097778,9.73870449444935e-07,0.005,0.0001,True
dx2abc,stable1_c3,C,1.3523588950070664e-09,8.685930302267776e-08,5e-06,1e-06,True
