function,case,metric,max_abs,max_rel,atol,rtol,pass
dx2abcd,base_c1,A,4.579669976578771e-16,5.6083790108210796e-15,1e-10,1e-07,True
dx2abcd,base_c1,B,2.220446049250313e-16,1.5887995079509788e-15,1e-10,1e-07,True
dx2abcd,base_c1,C,4.440892098500626e-16,1.3353463289444134e-15,1e-10,1e-07,True
dx2abcd,base_c1,D,4.85722573273506e-17,8.07971701369987e-16,1e-10,1e-07,True
dx2abcd,stable1_c1,A,8.66580554870211e-07,2.092733924240631e-06,0.005,8e-05,True
dx2abcd,stable1_c1,B,4047.8235778808594,7.691123397046103e-07,0.005,0.0001,True
dx2abcd,stable1_c1,C,1.0059725830124933e-09,4.750765731483221e-09,5e-06,1e-06,True
dx2abcd,stable1_c1,D,2.2340019084632345e-07,3.1401530151401212e-06,5e-06,1e-06,True
dx2abcd,base_c2,A,1.2490009027033011e-15,1.4758119873444136e-14,1e-10,1e-07,True
dx2abcd,base_c2,B,3.885780586188048e-16,9.320213072810687e-16,1e-10,1e-07,True
dx2abcd,base_c2,C,7.494005416219807e-16,4.484234813501565e-15,1e-10,1e-07,True
dx2abcd,base_c2,D,2.0816681711721685e-17,1.2703002300365003e-15,1e-10,1e-07,True
dx2abcd,stable1_c2,A,1.057332775999953e-06,9.189084533941889e-07,0.005,8e-05,True
dx2abcd,stable1_c2,B,709.4802582263947,4.656540868111142e-07,0.005,0.0001,True
dx2abcd,stable1_c2,C,5.14702480636231e-09,1.95323130128138e-08,5e-06,1e-06,True
dx2abcd,stable1_c2,D,3.8353101763921593e-07,4.380724058190774e-05,5e-06,1e-06,True
dx2abcd,base_c3,A,3.0933589023618424e-14,3.8600286251164733e-13,1e-10,1e-07,True
dx2abcd,base_c3,B,1.6653345369377348e-16,1.130558072639602e-15,1e-10,1e-07,True
dx2abcd,base_c3,C,1.6792123247455493e-14,8.213807497574675e-14,1e-10,1e-07,True
dx2abcd,base_c3,D,7.632783294297951e-17,3.0306270105767353e-15,1e-10,1e-07,True
dx2abcd,stable1_c3,A,1.2192383194165046e-06,4.716766088192863e-06,0.005,8e-05,True
dx2abcd,stable1_c3,B,80.55260734260082,5.816144175373237e-06,0.005,0.0001,True
dx2abcd,stable1_c3,C,1.041538695012445e-07,5.612514340130698e-06,5e-06,1e-06,True
dx2abcd,stable1_c3,D,3.2693102773595495e-08,9.450329438640369e-07,5e-06,1e-06,True
