function,case,metric,max_abs,max_rel,atol,rtol,pass
dx2abck,base_c1,A,8.881784197001252e-16,2.4058146638146752e-15,1e-10,1e-07,True
dx2abck,base_c1,B,1.8041124150158794e-16,1.9172084706570996e-15,1e-10,1e-07,True
dx2abck,base_c1,C,2.7755575615628914e-16,7.171493095312202e-16,1e-10,1e-07,True
dx2abck,base_c1,K,2.706168622523819e-15,2.4089426947320535e-14,1e-10,1e-07,True
dx2abck,stable1_c1,A,4.915134446115133e-07,1.1738163064837636e-06,2e-06,1e-05,True
dx2abck,stable1_c1,B,33901146.0431366,0.0004787264953738477,0.01,0.0008,True
dx2abck,stable1_c1,C,1.0897948654609024e-09,5.146792826134935e-09,2e-06,1e-05,True
dx2abck,stable1_c1,K,1.5716943080335e-06,9.672634775889316e-07,2e-06,1e-05,True
dx2abck,base_c2,A,1.4988010832439613e-15,1.9114164865770225e-14,1e-10,1e-07,True
dx2abck,base_c2,B,1.249000902703301e-16,1.2420719070142302e-15,1e-10,1e-07,True
dx2abck,base_c2,C,2.7755575615628914e-16,1.9132263048367606e-15,1e-10,1e-07,True
dx2abck,base_c2,K,3.2612801348363973e-15,3.795713712206658e-14,1e-10,1e-07,True
dx2abck,stable1_c2,A,5.93872937493245e-08,4.7778465805209477e-08,2e-06,1e-05,True
dx2abck,stable1_c2,B,324079.16224753857,0.0003462456539670514,0.01,0.0008,True
dx2abck,stable1_c2,C,2.223758122088526e-09,8.438712900972185e-09,2e-06,1e-05,True
dx2abck,stable1_c2,K,2.0570310077516751e-07,2.9394581237480488e-08,2e-06,1e-05,True
dx2abck,base_c3,A,2.4424906541753444e-15,3.045358404716857e-14,1e-10,1e-07,True
dx2abck,base_c3,B,1.942890293094024e-16,2.1765781711011906e-15,1e-10,1e-07,True
dx2abck,base_c3,C,2.498001805406602e-16,1.1727033835352978e-15,1e-10,1e-07,True
dx2abck,base_c3,K,4.760081218080359e-15,2.8837758013128557e-13,1e-10,1e-07,True
dx2abck,stable1_c3,A,2.5779245943269302e-05,8.939934048593662e-06,2e-06,1e-05,True
dx2abck,stable1_c3,B,2386062.0828533173,0.0002772709515164802,0.01,0.0008,True
dx2abck,stable1_c3,C,2.3934841573980403e-08,1.3229334903565657e-06,2e-06,1e-05,True
dx2abck,stable1_c3,K,7.100310438801216e-05,5.588011115237034e-06,2e-06,1e-05,True
