function,metric,n_rows,n_reports,mean_max_abs,std_dv_max_abs,mean_max_rel,std_dv_max_rel,mean_abs_over_atol,std_dv_abs_over_atol,mean_rel_over_rtol,std_dv_rel_over_rtol,pass_rate,severity_flag
dordvarmax,S,9,1,1.3319961653616395e-10,2.356771338283265e-10,8.792229493714794e-05,0.00013940011645172004,0.13319961653616394,0.23567713382832647,87.92229493714792,139.40011645172004,1.0,normal
dordvarmax,VARMAX_base_direct,3,1,7.401499168575114e-13,9.149613933930923e-13,2.4100620309103524e-09,2.3514690757054172e-09,3.7007495842875575e-05,4.574806966965462e-05,0.0002410062030910352,0.0002351469075705417,1.0,normal
dordvarmax,VARMAX_base_innovation,3,1,3.2012679544261382e-12,3.723887164976924e-12,2.358419563636754e-10,3.2233846846938717e-10,0.00016006339772130693,0.00018619435824884624,2.3584195636367535e-05,3.223384684693871e-05,1.0,normal
dordvarmax,VARMAX_base_stable,3,1,9.775022226839644e-12,1.3005965945046493e-11,3.738879366110974e-09,1.8224055179063467e-09,0.0004887511113419821,0.0006502982972523246,0.0003738879366110974,0.00018224055179063466,1.0,normal
dordvarmax,VARMAX_noD_innovation,3,1,3.239570648775706e-12,3.912433920965667e-12,1.8154100522603763e-10,2.4751604585915745e-10,0.00016197853243878532,0.00019562169604828334,1.815410052260376e-05,2.4751604585915742e-05,1.0,normal
dordvarmax,VARMAX_noD_stable,3,1,9.784456231343164e-12,1.3032983554399666e-11,9.826341655448823e-10,1.3319250116232407e-09,0.0004892228115671582,0.0006516491777199834,9.826341655448821e-05,0.00013319250116232406,1.0,normal
dordvarmax,VARMAX_weight1_direct,3,1,1.5924809592882715e-17,9.320029175010512e-18,1.5924809592882716e-05,9.320029175010512e-06,7.962404796441357e-10,4.660014587505256e-10,1.5924809592882714,0.9320029175010512,1.0,normal
dordvarmax,VARMAX_weight1_innovation,3,1,3.2511959224370905e-13,2.40997038094885e-13,0.05988823867508276,0.058487088627397175,1.625597961218545e-05,1.2049851904744249e-05,5988.823867508275,5848.708862739717,1.0,normal
dordvarmax,VARMAX_weight1_stable,3,1,6.700131189735688e-09,3.498487102720691e-09,1.5924809592882716e-05,9.320029175010512e-06,0.3350065594867844,0.17492435513603455,1.5924809592882714,0.9320029175010512,1.0,normal
dordvarx,S,9,1,1.0516375009476019e-13,1.0128544224465485e-13,0.04576809997433642,0.016839324125259663,0.001051637500947602,0.0010128544224465485,45768.09997433642,16839.324125259664,1.0,normal
dordvarx,VARX,9,1,1.907274251727875e-15,4.0712571957510724e-16,0.00044328677208146374,0.00036773475139084856,1.907274251727875e-05,4.071257195751073e-06,443.28677208146377,367.7347513908486,1.0,normal
dordvarx,Zps,9,1,6.617247259403196e-17,1.1828353640491865e-17,1.985974591793907e-11,1.1201837230110442e-11,6.617247259403195e-07,1.1828353640491865e-07,1.985974591793907e-05,1.1201837230110442e-05,1.0,normal
dvar2eig,E,3,1,6.893194896448949e-16,8.080699043494043e-17,9.039221960660602e-16,1.1781708507335811e-16,0.0006893194896448949,8.080699043494047e-05,9.039221960660602e-07,1.178170850733581e-07,1.0,normal
dvar2eig,covE,3,1,4.599301376852968e-16,2.304777973439249e-16,9.838347574803337e-11,2.3293442506630216e-11,0.0004599301376852968,0.0002304777973439249,0.09838347574803336,0.02329344250663021,1.0,normal
dvar2frd,G_abcdk,3,1,2.532393213644575e-16,7.643981956962575e-17,3.885048922957089e-15,3.468310134588453e-15,0.00025323932136445744,7.643981956962577e-05,3.885048922957088e-06,3.468310134588453e-06,1.0,normal
dvar2frd,G_abck,3,1,2.532393213644575e-16,7.643981956962575e-17,1.454372785359849e-15,6.35176703876192e-16,0.00025323932136445744,7.643981956962577e-05,1.454372785359849e-06,6.35176703876192e-07,1.0,normal
dvar2frd,G_varx,3,1,1.5094407776815056e-15,1.7419330465610275e-15,7.616282693560309e-16,2.9642069282237837e-17,0.001509440777681506,0.0017419330465610278,7.616282693560309e-07,2.964206928223785e-08,1.0,normal
dvar2frd,covG_abcdk,3,1,3.382710778154774e-17,3.010465862995249e-17,4.546099241931119e-15,2.0506203830927474e-15,0.0003382710778154774,0.00030104658629952484,4.546099241931119e-05,2.050620383092747e-05,1.0,normal
dvar2frd,covG_abck,3,1,3.411622836087721e-17,2.9923630779119e-17,4.099903994752444e-15,1.4446709881462042e-15,0.00034116228360877204,0.00029923630779119,4.099903994752443e-05,1.444670988146204e-05,1.0,normal
dvar2frd,covG_varx,3,1,4.741866621582602e-15,6.695586150776505e-15,8.353245451457892e-15,9.361487837044475e-15,0.04741866621582602,0.06695586150776504,8.353245451457891e-05,9.361487837044475e-05,1.0,normal
dx2abcdk,A,6,1,0.0007405974794774348,0.0016557498291025759,5.437038073552775e-06,1.1965288028196815e-05,0.14812675860429447,0.33114671736441925,0.0679630406867412,0.14956607092213664,1.0,normal
dx2abcdk,B,6,1,536742.3311165372,1200126.829119353,5.268005885963478e-06,1.1709699243126358e-05,107348466.22330818,240025365.82387027,0.05268010420420959,0.11709697203148355,1.0,scale-driven-high-abs
dx2abcdk,C,6,1,1.7702304494956096e-09,3.87010614704187e-09,3.881241142035146e-09,7.976180490863187e-09,0.0003564283958257253,0.0007729367744276284,0.0038812478776333115,0.007976177213299778,1.0,normal
dx2abcdk,D,6,1,1.58558807758849e-08,2.2046446986665936e-08,3.3841354241310565e-07,4.585121229266718e-07,0.0031714276850502987,0.004409108507731878,0.33841355427983616,0.4585121141682076,1.0,normal
dx2abcdk,K,6,1,0.0019666265032443745,0.004396603709897401,5.3187757896752224e-06,1.180421375756422e-05,0.09833200748678254,0.21982988028827202,0.05318776974425901,0.11804213223735997,1.0,normal
dx2abck,A,6,1,4.388357781076602e-06,9.567902326982355e-06,1.6935881454760332e-06,3.268361043331057e-06,2.1941869392527735,4.783947471922643,0.1693589003039832,0.3268360598961769,1.0,normal
dx2abck,B,6,1,6101881.214706242,12461195.07681346,0.0001837071834771192,0.00019298286420140883,610188121.470625,1246119507.6813455,0.22963398823838493,0.24122857178716656,1.0,scale-driven-high-abs
dx2abck,C,6,1,4.541399227740254e-09,8.71075534929436e-09,2.2275316664779198e-07,4.920258939238042e-07,0.0022720410662822412,0.004354678452685208,0.02227532293985954,0.04920258655148564,1.0,normal
dx2abck,K,6,1,1.2130083634591393e-05,2.633476724663119e-05,1.0974449207479318e-06,2.038627756443195e-06,6.065059695618362,13.167375388374401,0.1097450702746311,0.20386246438713607,1.0,normal
