function,case,metric,max_abs,max_rel,atol,rtol,pass
dordvarmax,base_c1,S,3.6683785349655995e-13,5.630203117821889e-09,1e-09,1e-06,True
dordvarmax,base_c1,VARMAX_base_c1_stable,9.572204140440022e-15,5.679856670032022e-09,2e-08,1e-05,True
dordvarmax,base_c1,VARMAX_base_c1_innovation,9.928169397710462e-14,1.2635822999831933e-12,2e-08,1e-05,True
dordvarmax,base_c1,VARMAX_base_c1_direct,5.895933553865299e-15,5.679856670032022e-09,2e-08,1e-05,True
dordvarmax,weight1_c1,S,1.7763568394002505e-15,0.00021146769133490646,1e-09,1e-06,True
dordvarmax,weight1_c1,VARMAX_weight1_c1_stable,6.764622209609605e-09,4.799794819505356e-06,2e-08,1e-05,True
dordvarmax,weight1_c1,VARMAX_weight1_c1_innovation,1.1284508561400221e-13,0.006161086610383754,2e-08,1e-05,True
dordvarmax,weight1_c1,VARMAX_weight1_c1_direct,4.799794819505356e-18,4.799794819505356e-06,2e-08,1e-05,True
dordvarmax,noD_c1,S,2.7418436851457326e-13,6.381591565790486e-09,1e-09,1e-06,True
dordvarmax,noD_c1,VARMAX_noD_c1_stable,8.179221189230645e-15,8.583817759303226e-13,2e-08,1e-05,True
dordvarmax,noD_c1,VARMAX_noD_c1_innovation,8.026912468039882e-14,1.2241299411001129e-12,2e-08,1e-05,True
dordvarmax,base_c2,S,2.5782889712111512e-11,9.627145250195978e-10,1e-09,1e-06,True
dordvarmax,base_c2,VARMAX_base_c2_stable,1.1592393711623572e-12,1.2999908582560194e-09,2e-08,1e-05,True
dordvarmax,base_c2,VARMAX_base_c2_innovation,1.06657738196958e-12,1.4630224343577e-11,2e-08,1e-05,True
dordvarmax,base_c2,VARMAX_base_c2_direct,1.845717318132295e-13,1.2999908582560194e-09,2e-08,1e-05,True
dordvarmax,weight1_c2,S,4.1570933952326683e-16,0.0004157093395232668,1e-09,1e-06,True
dordvarmax,weight1_c2,VARMAX_weight1_c2_stable,2.3834955606427677e-09,2.7608587309631352e-05,2e-08,1e-05,True
dordvarmax,weight1_c2,VARMAX_weight1_c2_innovation,2.0033692668602974e-13,0.14121422516112087,2e-08,1e-05,True
dordvarmax,weight1_c2,VARMAX_weight1_c2_direct,2.7608587309631352e-17,2.7608587309631352e-05,2e-08,1e-05,True
dordvarmax,noD_c2,S,2.511443483732556e-11,9.76793564278899e-10,1e-09,1e-06,True
dordvarmax,noD_c2,VARMAX_noD_c2_stable,1.1409172218090902e-12,8.135698543358375e-11,2e-08,1e-05,True
dordvarmax,noD_c2,VARMAX_noD_c2_innovation,8.854167399263702e-13,1.1871311592780125e-11,2e-08,1e-05,True
dordvarmax,base_c3,S,5.641687117474703e-10,4.902835971619523e-10,1e-09,1e-06,True
dordvarmax,base_c3,VARMAX_base_c3_stable,2.8156255105216133e-11,4.23679057004488e-09,2e-08,1e-05,True
dordvarmax,base_c3,VARMAX_base_c3_innovation,8.43794478733173e-12,6.916320624474659e-10,2e-08,1e-05,True
dordvarmax,base_c3,VARMAX_base_c3_direct,2.0299820852054395e-12,2.50338564443015e-10,2e-08,1e-05,True
dordvarmax,weight1_c3,S,1.6410869021395038e-16,0.0001641086902139504,1e-09,1e-06,True
dordvarmax,weight1_c3,VARMAX_weight1_c3_stable,1.0952275798954691e-08,1.5366046649511438e-05,2e-08,1e-05,True
dordvarmax,weight1_c3,VARMAX_weight1_c3_innovation,6.621767644310952e-13,0.03228940425374365,2e-08,1e-05,True
dordvarmax,weight1_c3,VARMAX_weight1_c3_direct,1.536604664951144e-17,1.5366046649511438e-05,2e-08,1e-05,True
dordvarmax,noD_c3,S,5.830871341316879e-10,4.917758376326626e-10,1e-09,1e-06,True
dordvarmax,noD_c3,VARMAX_noD_c3_stable,2.820427225103117e-11,2.8656871294251327e-09,2e-08,1e-05,True
dordvarmax,noD_c3,VARMAX_noD_c3_innovation,8.75302608172035e-12,5.315275741442326e-10,2e-08,1e-05,True
