function,case,metric,max_abs,max_rel,atol,rtol,pass
dx2abcdk,base_c1,A,1.1102230246251565e-15,1.0647433286758596e-14,1e-10,1e-07,True
dx2abcdk,base_c1,B,1.1102230246251565e-16,4.966203384644557e-16,1e-10,1e-07,True
dx2abcdk,base_c1,C,1.249000902703301e-16,1.0186400025419466e-15,1e-10,1e-07,True
dx2abcdk,base_c1,D,1.3877787807814457e-17,1.3573683985263283e-16,1e-10,1e-07,True
dx2abcdk,base_c1,K,8.326672684688674e-17,1.376058554028595e-15,1e-10,1e-07,True
dx2abcdk,stable1_c1,A,0.004442966634314871,3.2189998113151624e-05,0.005,8e-05,True
dx2abcdk,stable1_c1,B,3220307.5004119873,3.14514095811528e-05,0.005,0.0001,True
dx2abcdk,stable1_c1,C,1.8879592333931328e-10,1.3989761163099447e-09,5e-06,1e-06,True
dx2abcdk,stable1_c1,D,4.671740543027436e-08,9.14538682805273e-07,5e-06,1e-06,True
dx2abcdk,stable1_c1,K,0.011797731216404372,3.171333988865246e-05,0.02,0.0001,True
dx2abcdk,base_c2,A,1.5543122344752192e-15,1.1383872091850543e-14,1e-10,1e-07,True
dx2abcdk,base_c2,B,1.7867651802561113e-16,1.7146674629980416e-14,1e-10,1e-07,True
dx2abcdk,base_c2,C,5.273559366969494e-16,2.6293016298379554e-15,1e-10,1e-07,True
dx2abcdk,base_c2,D,3.469446951953614e-17,1.0153207600218013e-15,1e-10,1e-07,True
dx2abcdk,base_c2,K,2.0816681711721685e-16,2.085334721154816e-15,1e-10,1e-07,True
dx2abcdk,stable1_c2,A,4.401596209735459e-07,4.254159206115072e-07,0.005,8e-05,True
dx2abcdk,stable1_c2,B,136.3624964952469,1.49810499044775e-07,0.005,0.0001,True
dx2abcdk,stable1_c2,C,1.0422709972868205e-08,2.16818147100653e-08,5e-06,1e-06,True
dx2abcdk,stable1_c2,D,4.733973289067217e-08,1.052692238684317e-06,5e-06,1e-06,True
dx2abcdk,stable1_c2,K,1.0003754606913162e-06,1.9250114534978007e-07,0.02,0.0001,True
dx2abcdk,base_c3,A,1.6930901125533637e-15,1.6877729821551028e-14,1e-10,1e-07,True
dx2abcdk,base_c3,B,1.457167719820518e-16,9.59068390026767e-15,1e-10,1e-07,True
dx2abcdk,base_c3,C,7.771561172376096e-16,8.424571442691978e-16,1e-10,1e-07,True
dx2abcdk,base_c3,D,1.0234868508263162e-16,6.760096062940375e-15,1e-10,1e-07,True
dx2abcdk,base_c3,K,1.1796119636642288e-16,3.6542264182909455e-15,1e-10,1e-07,True
dx2abcdk,stable1_c3,A,1.780829244069082e-07,6.814368644483148e-09,0.005,8e-05,True
dx2abcdk,stable1_c3,B,10.123790740966797,6.81520834931235e-09,0.005,0.0001,True
dx2abcdk,stable1_c3,C,9.875371353995632e-12,2.0665153543685468e-10,5e-06,1e-06,True
dx2abcdk,stable1_c3,D,1.0781461834419304e-09,6.325032507789032e-08,5e-06,1e-06,True
dx2abcdk,stable1_c3,K,1.0274276007748995e-06,6.813696933473042e-09,0.02,0.0001,True
